text,disease
itching skin rash nodal skin eruptions dischromic  patches,Fungal infection
itching skin rash nodal skin eruptions dischromic  patches,Fungal infection
itching skin rash nodal skin eruptions dischromic  patches,Fungal infection
itching skin rash nodal skin eruptions dischromic  patches,Fungal infection
skin rash nodal skin eruptions dischromic  patches,Fungal infection
skin rash nodal skin eruptions dischromic  patches,Fungal infection
skin rash nodal skin eruptions dischromic  patches,Fungal infection
skin rash nodal skin eruptions dischromic  patches,Fungal infection
itching nodal skin eruptions dischromic  patches,Fungal infection
itching nodal skin eruptions dischromic  patches,Fungal infection
itching nodal skin eruptions dischromic  patches,Fungal infection
itching nodal skin eruptions dischromic  patches,Fungal infection
itching skin rash dischromic  patches,Fungal infection
itching skin rash dischromic  patches,Fungal infection
itching skin rash dischromic  patches,Fungal infection
itching skin rash dischromic  patches,Fungal infection
itching skin rash nodal skin eruptions,Fungal infection
itching skin rash nodal skin eruptions,Fungal infection
itching skin rash nodal skin eruptions,Fungal infection
itching skin rash nodal skin eruptions,Fungal infection
skin rash nodal skin eruptions dischromic  patches,Fungal infection
skin rash nodal skin eruptions dischromic  patches,Fungal infection
skin rash nodal skin eruptions dischromic  patches,Fungal infection
skin rash nodal skin eruptions dischromic  patches,Fungal infection
itching nodal skin eruptions dischromic  patches,Fungal infection
itching nodal skin eruptions dischromic  patches,Fungal infection
itching nodal skin eruptions dischromic  patches,Fungal infection
itching nodal skin eruptions dischromic  patches,Fungal infection
itching skin rash dischromic  patches,Fungal infection
itching skin rash dischromic  patches,Fungal infection
itching skin rash dischromic  patches,Fungal infection
itching skin rash dischromic  patches,Fungal infection
itching skin rash nodal skin eruptions,Fungal infection
itching skin rash nodal skin eruptions,Fungal infection
itching skin rash nodal skin eruptions,Fungal infection
itching skin rash nodal skin eruptions,Fungal infection
itching skin rash nodal skin eruptions dischromic  patches,Fungal infection
itching skin rash nodal skin eruptions dischromic  patches,Fungal infection
itching skin rash nodal skin eruptions dischromic  patches,Fungal infection
itching skin rash nodal skin eruptions dischromic  patches,Fungal infection
continuous sneezing shivering chills watering from eyes,Allergy
